postcode,latitude,longitude,region
AB1 0AA,57.101459,-2.242858,Scotland
AB24 3FX,57.164841,-2.100237,Scotland
AL1 2DT,51.743511,-0.346777,East of England
B11 4AA,52.458564,-1.870442,West Midlands
B2  4BH,52.478659,-1.900523,West Midlands
B5  7FW,52.466472,-1.894500,West Midlands
B6  4AB,52.495968,-1.894209,West Midlands
BR2 0EF,51.405683,0.004379,London
BR8 7QP,51.403453,0.148952,London
BR8 7QW,51.399722,0.145945,London
BS1 5TL,51.451471,-2.602415,South West
BS31 2TR,51.406037,-2.507101,South West
BT10 0AA,54.565700,-5.973734,Northern Ireland
BT1 1AA,54.602438,-5.922291,Northern Ireland
BT1 4GF,54.597830,-5.927602,Northern Ireland
BT4 3SR,54.599068,-5.828604,Northern Ireland
CA13 9EJ,54.655880,-3.363006,North West
CA6 5QJ,55.119280,-2.822366,North West
CA8 7JG,54.977349,-2.532223,North East
CB23 5DG,52.218271,-0.079210,East of England
CB2 8DU,52.188669,0.129339,East of England
CB5 8BL,52.210306,0.122734,East of England
CF10 1EP,51.475764,-3.179217,Wales
CF14 5LJ,51.521841,-3.186188,Wales
CT6 6WG,51.362136,1.120950,South East
CW12 4DZ,53.163864,-2.224136,North West
CW2 7AF,53.091647,-2.441874,North West
DE21 7FY,52.916249,-1.402886,East Midlands
DL1 5BF,54.522892,-1.554413,North East
E1  4FF,51.521805,-0.049310,London
E3  9GG,51.530231,-0.028880,London
EC1A 1BB,51.524567,-0.112017,London
EH12 6TS,55.942161,-3.269330,Scotland
EH1 2NG,55.948961,-3.201479,Scotland
EH1 3DG,55.953650,-3.183896,Scotland
EH14 2SP,55.915850,-3.286693,Scotland
EH8 8FT,55.951914,-3.182257,Scotland
EH99 1SP,55.952059,-3.174591,Scotland
EN11 8LR,51.753557,-0.023722,East of England
G2  8LU,55.857053,-4.264471,Scotland
GL4 6LP,51.833208,-2.213541,South West
GL6 8DS,51.721122,-2.143524,South West
HP1 1DN,51.754096,-0.473090,East of England
IP33 3TF,52.252629,0.684165,East of England
L3  1EA,53.403409,-2.993490,North West
LL31 9JF,53.288341,-3.777741,Wales
LS1 1AA,53.796179,-1.552548,Yorkshire and The Humber
LS1 4AP,53.795472,-1.555729,Yorkshire and The Humber
M1  2WD,53.478727,-2.229077,North West
ML9 9AR,55.740264,-3.973721,Scotland
N8  8HJ,51.579181,-0.127276,London
NE23 1TW,55.092832,-1.593091,North East
NG2 3NG,52.948168,-1.144602,East Midlands
NR7 0HS,52.628992,1.365305,East of England
NW8 0PG,51.535003,-0.178835,London
PE33 9DR,52.622761,0.528764,East of England
PL6 5WS,50.412937,-4.126115,South West
PL6 8LB,50.392740,-4.084562,South West
PL7 3ED,50.389967,-4.042670,South West
PO5 1NS,50.788190,-1.077620,South East
SW10 0AA,51.477517,-0.179730,London
SW1A 2AA,51.503541,-0.127670,London
SW1A 2BQ,51.501638,-0.126768,London
SW1P 4DF,51.495868,-0.129786,London
SW1V 2SS,51.490190,-0.131790,London
SW1Y 6DN,51.508327,-0.137417,London
TD9 0TU,55.155731,-2.745026,North West
TN34 1EA,50.856583,0.577708,South East
W1A 0AX,51.524567,-0.112017,London
W2  1UZ,51.521717,-0.178602,London
W6  0JA,51.494943,-0.234299,London
W6  9LQ,51.491298,-0.232293,London
W6  9ZD,51.492367,-0.238792,London
WA1 1RU,53.384037,-2.596743,North West
WS2 0DG,52.581706,-2.021115,West Midlands
WV1 1LH,52.586642,-2.122501,West Midlands
