Region 2 - South East England - Charlwood,,,,,,? Crown Copyright  Met Office 2010,,,,,,
NGR:  5239E 1397N,,,,,,,,,,,,
ALT: 67 Metres,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Heating deg days - base temp 15.5C,,,,,,,,,,,,
,,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2017,345,234,567,234,123,456,678,345,234,456,650,234
2018,678,788,123,234,456,456,234,234,890,789,234,456
2019,456,345,789,567,567,34,456,234,234,234,456,456
2020,780,245,345,456,890,456,23.4,456,4.5,345,567,123
2021,56.7,456,23.4,12.3,123,,,,,,,
,,,,,,,,,,,,
Cooling deg days - base temp 15.5C,,,,,,,,,,,,
,,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2017,345,234,567,234,123,456,678,345,234,456,650,234
2018,678,788,123,234,456,456,234,234,890,789,234,456
2019,456,345,789,567,567,34,456,234,234,234,456,456
2020,78.8,245,345,4.5,890,456,23.0,456,45.6,345,56.7,123
2021,78.0,21,786,123.4,234,,,,,,,
,,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Heating deg long term average,345,345,345,345,546,567,324,789,49,131,233,305
Cooling deg long termaverage,123,789,899,890,345,57,345,567,45,10,0.3,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Heating deg days - % of average,,,,,,,,,,,,
,,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2017,345,234,567,234,123,456,678,345,234,456,650,234
2018,678,788,123,234,456,456,234,234,890,789,234,456
2019,456,345,789,567,567,34,456,234,234,234,456,456
2020,788,245,345,456,890,456,234,456,456,345,567,123
2021,567,456,234,123,345,,,,,,,
,,,,,,,,,,,,
Cooling deg days - % of average,,,,,,,,,,,,
,,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2017,345,234,567,234,123,456,678,345,234,456,650,234
2018,678,788,123,234,456,456,234,234,890,789,234,456
2019,456,345,789,567,567,34,456,234,234,234,456,456
2020,788,245,345,456,890,456,234,456,456,345,567,123
2021,567,456,234,123,456,,,,,,,
